rank,name,star,amount,quote
"
221



",这个男人来自地球,8.5,220217人评价,"
科幻真正的魅力不是视觉效果能取代的。 
"
"
222



",E.T. 外星人,8.5,188305人评价,"
生病的E.T.皮肤的颜色就像柿子饼。
"
"
223



",彗星来的那一夜,8.4,235697人评价,"
小成本大魅力。
"
"
224



",勇闯夺命岛,8.6,166154人评价,"
类型片的极致。 
"
"
225



",秒速5厘米,8.3,367151人评价,"
青春就是放弃和怀念。
"
"
226



",变脸,8.4,249669人评价,"
当发哥的风衣、墨镜出现在了凯奇身上⋯⋯
"
"
227



",血钻,8.6,167093人评价,"
每个美丽事物背后都是滴血的现实。
"
"
228



",黄金三镖客,9.1,63584人评价,"
最棒的西部片。
"
"
229



",发条橙,8.5,215775人评价,"
我完全康复了。
"
"
230



",聚焦,8.8,155211人评价,"
新闻人的理性求真。
"
"
231



",卡萨布兰卡,8.6,146138人评价,"
世界上有那么多女人那么多酒馆，但她偏偏走进我的这家。
"
"
232



",碧海蓝天,8.7,117609人评价,"
在那片深蓝中，感受来自大海的忧伤寂寞与美丽自由。
"
"
233



",天书奇谭,9.1,65292人评价,"
传奇的年代，醉人的童话。
"
"
234



",非常嫌疑犯,8.6,144420人评价,"
我不信仰上帝，但我敬畏上帝。
"
"
235



",美国丽人,8.5,217178人评价,"
每个人的内心都是深不可测的大海。 
"
"
236



",国王的演讲,8.3,398529人评价,"
皇上无话儿。
"
"
237



",黑鹰坠落,8.6,146547人评价,"
还原真实而残酷的战争。
"
"
238



",我爱你,9.0,73557人评价,"
你要相信，这世上真的有爱存在，不管在什么年纪 
"
"
239



",海蒂和爷爷,9.1,71910人评价,
"
240



",千钧一发,8.7,111958人评价,"
一部能引人思考的科幻励志片。
"
"
241



",2001太空漫游,8.7,121093人评价,"
现代科幻电影的开山之作，最伟大导演的最伟大影片。
"
"
242



",海盗电台,8.6,184732人评价,"
生命不止，摇滚不死。
"
"
243



",荒野生存,8.6,149299人评价,"
出门必备：本草纲目。
"
"
244



",遗愿清单,8.5,161930人评价,"
用剩余不多的时间，去燃烧整个生命。
"
"
245



",英国病人,8.5,197368人评价,"
In memory, love lives forever...
"
"
246



",荒岛余生,8.5,164103人评价,"
一个人的独角戏。
"
"
247



",勇士,8.9,100283人评价,"
热血沸腾，相当完美的娱乐拳击大餐。
"
"
248



",枪火,8.7,119318人评价,"
一群演技精湛的戏骨，奉献出一个精致的黑帮小品，成就杜琪峰群戏的巅峰之作。
"
"
249



",迁徙的鸟,9.1,58001人评价,"
最美的飞翔。
"
"
250



",攻壳机动队,8.9,72621人评价,"
上承《银翼杀手》，下启《黑客帝国》。
"
